"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Mar-2025","EQ","972.00","981.00","949.05","954.25","952.00","952.90","961.24","2,174.10","758.00","36,32,791","3,49,19,71,910.15","82,594"
"21-Mar-2025","EQ","925.00","983.35","920.55","923.40","957.00","954.25","957.76","2,174.10","758.00","81,47,557","7,80,34,13,714.15","1,69,547"
"20-Mar-2025","EQ","920.30","927.95","902.05","911.20","921.60","923.40","915.92","2,174.10","758.00","32,10,117","2,94,02,00,173.90","68,499"
"19-Mar-2025","EQ","904.05","918.75","901.40","900.90","908.70","911.20","912.49","2,174.10","758.00","29,80,425","2,71,96,04,014.05","63,758"
"18-Mar-2025","EQ","904.70","911.90","889.10","896.45","901.00","900.90","901.65","2,174.10","758.00","42,22,109","3,80,68,67,447.15","92,532"
"17-Mar-2025","EQ","873.65","908.45","868.85","873.65","896.00","896.45","895.06","2,174.10","758.00","59,03,492","5,28,39,95,006.80","1,30,474"
"13-Mar-2025","EQ","874.00","896.85","858.00","853.45","871.90","873.65","880.11","2,174.10","758.00","1,17,79,180","10,36,69,22,595.90","2,14,029"
"12-Mar-2025","EQ","834.40","858.00","806.35","824.20","854.90","853.45","834.59","2,174.10","758.00","48,26,264","4,02,79,45,406.35","88,597"
"11-Mar-2025","EQ","819.25","834.35","810.60","826.05","833.25","824.20","821.32","2,174.10","758.00","34,95,317","2,87,07,77,180.80","75,002"
"10-Mar-2025","EQ","840.90","871.00","823.25","837.20","825.00","826.05","844.17","2,174.10","758.00","65,95,111","5,56,74,15,549.50","1,29,753"
"07-Mar-2025","EQ","840.00","847.30","823.15","845.95","841.90","837.20","834.56","2,174.10","758.00","60,78,435","5,07,28,45,493.05","1,16,888"
"06-Mar-2025","EQ","868.80","872.45","836.00","848.70","843.20","845.95","850.96","2,174.10","758.00","1,01,66,566","8,65,13,90,358.15","1,81,600"
"05-Mar-2025","EQ","769.00","857.90","769.00","768.55","849.95","848.70","824.28","2,174.10","758.00","1,79,02,240","14,75,64,52,775.30","2,87,840"
"04-Mar-2025","EQ","783.20","796.65","765.60","804.10","768.90","768.55","779.02","2,174.10","758.00","77,26,332","6,01,89,34,274.50","1,48,177"
"03-Mar-2025","EQ","775.00","808.80","758.00","774.40","808.00","804.10","786.54","2,174.10","758.00","57,20,645","4,49,95,23,855.75","1,74,434"
"28-Feb-2025","EQ","795.10","815.00","760.15","811.75","764.00","774.40","777.29","2,174.10","760.15","4,39,47,584","34,16,00,41,484.00","2,86,589"
"27-Feb-2025","EQ","848.65","859.45","806.30","840.65","810.90","811.75","833.98","2,174.10","806.30","56,12,214","4,68,04,69,543.30","1,32,295"
"25-Feb-2025","EQ","836.50","867.00","828.65","836.05","841.05","840.65","846.75","2,174.10","819.10","52,99,509","4,48,73,53,511.20","1,38,881"